retiro,entrega,tamano,opcion_de_entrega,cantidad_de_paquetes,cantidad_de_asistentes,lat_retiro,lng_retiro,lat_entrega,lng_entrega,km,precio
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,7,5,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,3376
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,8,0,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,352
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,8,1,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,962
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,8,2,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1572
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,8,3,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2182
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,8,4,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2792
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,8,5,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,3402
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,9,0,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,378
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,9,1,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,988
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,9,2,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1598
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,9,3,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2208
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,9,4,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2818
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,coordinado,9,5,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,3428
