,retiro,entrega,tamano,opcion_de_entrega,cantidad_de_paquetes,cantidad_de_asistentes,lat_retiro,lng_retiro,lat_entrega,lng_entrega,km,precio
82,"Copacabana 6808, Montevideo Uruguay","Líber Arce, Montevideo, Uruguay",small,express,2,1,-34.8838262,-56.0466473,-34.8988864,-56.1440372,9.057705304369126,1363
83,"Copacabana 6808, Montevideo Uruguay","Hocquart, Montevideo, Uruguay",small,express,2,1,-34.8838262,-56.0466473,-34.8902774,-56.1800759,12.218144335806185,972
84,"Copacabana 6808, Montevideo Uruguay","Ignacio Barrios, Montevideo, Uruguay",small,express,2,1,-34.8838262,-56.0466473,-34.8562398,-56.1393665,9.01301408706044,1418
85,"Copacabana 6808, Montevideo Uruguay","Escalada, Montevideo, Uruguay",small,express,2,1,-34.8838262,-56.0466473,-34.8525727,-56.2005685,14.494477548407687,1802
86,"Copacabana 6808, Montevideo Uruguay","Fernando Torres, Montevideo, Uruguay",small,express,2,1,-34.8838262,-56.0466473,-34.8485567,-56.233298,17.5094643889002,1912
87,"Copacabana 6808, Montevideo Uruguay","Carlos Reyles, Montevideo, Uruguay",small,express,2,1,-34.8838262,-56.0466473,-34.8819445,-56.1812809,12.309709948623413,1692
88,"Copacabana 6808, Montevideo Uruguay","Rizal, Montevideo, Uruguay",small,express,2,1,-34.8838262,-56.0466473,-34.9009529,-56.1352843,8.321891473167714,1363
89,"Copacabana 6808, Montevideo Uruguay","Chamizo, Montevideo, Uruguay",small,express,2,1,-34.8838262,-56.0466473,-34.8889171,-56.1212496,6.843054487962966,1253
90,"Galicia 1224, Montevideo Uruguay","Doctor Prudencio de Pena, Montevideo Uruguay",small,express,2,1,-34.9002335,-56.1903221,-34.8989865,-56.1578912,2.9673952551019247,1033
91,"Galicia 1224, Montevideo Uruguay","Rambla República de México, Montevideo Uruguay",small,express,2,1,-34.9002335,-56.1903221,-34.8941222,-56.0595102,11.975703405054587,1198
92,"Galicia 1224, Montevideo Uruguay","Ricaldoni, Montevideo Uruguay",small,express,2,1,-34.9002335,-56.1903221,-34.8938637,-56.1591115,2.9389437008729415,478
93,"Galicia 1224, Montevideo Uruguay","Doctor Alberto Zubiría, Montevideo Uruguay",small,express,2,1,-34.9002335,-56.1903221,-34.8434359,-56.1924935,6.3041520694375395,1198
94,"Galicia 1224, Montevideo Uruguay","Adolfo berro, Montevideo Uruguay",small,express,2,1,-34.9002335,-56.1903221,-34.8642481,-56.2077112,4.29703184702891,1088
95,"Galicia 1224, Montevideo Uruguay","Los Nogales, Montevideo Uruguay",small,express,2,1,-34.9002335,-56.1903221,-34.8029901,-56.1143293,12.832743597665806,1528
96,"Galicia 1224, Montevideo Uruguay","Paysandú, Montevideo, Uruguay",small,express,2,1,-34.9002335,-56.1903221,-34.901975,-56.1895067,0.20707555013880044,869
97,"Galicia 1224, Montevideo Uruguay","Himalaya, Montevideo, Uruguay",small,express,2,1,-34.9002335,-56.1903221,-34.8681349,-56.1491542,5.181110264596706,1143
98,"Galicia 1224, Montevideo Uruguay","Carlos Tellier, Montevideo, Uruguay",small,express,2,1,-34.9002335,-56.1903221,-34.8535167,-56.2452851,7.218766198003945,1308
99,"Galicia 1224, Montevideo Uruguay","Cooper, Montevideo, Uruguay",small,express,2,1,-34.9002335,-56.1903221,-34.8700236,-56.0694155,11.549688208234148,1473
100,"Galicia 1224, Montevideo Uruguay","Oyarvide, Montevideo, Uruguay",small,express,2,1,-34.9002335,-56.1903221,-34.8542084,-56.1264252,7.758641069793847,1308
101,"Galicia 1224, Montevideo Uruguay","Avenida Sarmiento, Montevideo, Uruguay",small,express,2,1,-34.9002335,-56.1903221,-34.9153352,-56.1673733,2.6843107405709565,1088
102,"Galicia 1224, Montevideo Uruguay","Líber Arce, Montevideo, Uruguay",small,express,2,1,-34.9002335,-56.1903221,-34.8988864,-56.1440372,4.233059160043853,1143
103,"Galicia 1224, Montevideo Uruguay","Hocquart, Montevideo, Uruguay",small,express,2,1,-34.9002335,-56.1903221,-34.8902774,-56.1800759,1.4481288244720647,979
104,"Galicia 1224, Montevideo Uruguay","Ignacio Barrios, Montevideo, Uruguay",small,express,2,1,-34.9002335,-56.1903221,-34.8562398,-56.1393665,6.746998034635057,1308
105,"Galicia 1224, Montevideo Uruguay","Escalada, Montevideo, Uruguay",small,express,2,1,-34.9002335,-56.1903221,-34.8525727,-56.2005685,5.369752964377649,1198
106,"Galicia 1224, Montevideo Uruguay","Fernando Torres, Montevideo, Uruguay",small,express,2,1,-34.9002335,-56.1903221,-34.8485567,-56.233298,6.950177897566468,1253
107,"Galicia 1224, Montevideo Uruguay","Carlos Reyles, Montevideo, Uruguay",small,express,2,1,-34.9002335,-56.1903221,-34.8819445,-56.1812809,2.190816160019524,979
108,"Galicia 1224, Montevideo Uruguay","Rizal, Montevideo, Uruguay",small,express,2,1,-34.9002335,-56.1903221,-34.9009529,-56.1352843,5.031001705671901,1198
109,"Galicia 1224, Montevideo Uruguay","Chamizo, Montevideo, Uruguay",small,express,2,1,-34.9002335,-56.1903221,-34.8889171,-56.1212496,6.437186454365552,588
110,"Doctor Prudencio de Pena, Montevideo Uruguay","Rambla República de México, Montevideo Uruguay",small,express,2,1,-34.8989865,-56.1578912,-34.8941222,-56.0595102,9.0084867181651,1033
111,"Doctor Prudencio de Pena, Montevideo Uruguay","Ricaldoni, Montevideo Uruguay",small,express,2,1,-34.8989865,-56.1578912,-34.8938637,-56.1591115,0.57915871151693,369
112,"Doctor Prudencio de Pena, Montevideo Uruguay","Doctor Alberto Zubiría, Montevideo Uruguay",small,express,2,1,-34.8989865,-56.1578912,-34.8434359,-56.1924935,6.92732384396714,698
113,"Doctor Prudencio de Pena, Montevideo Uruguay","Adolfo berro, Montevideo Uruguay",small,express,2,1,-34.8989865,-56.1578912,-34.8642481,-56.2077112,5.966202610983205,1198
114,"Doctor Prudencio de Pena, Montevideo Uruguay","Los Nogales, Montevideo Uruguay",small,express,2,1,-34.8989865,-56.1578912,-34.8029901,-56.1143293,11.370400670190842,1027
115,"Doctor Prudencio de Pena, Montevideo Uruguay","Paysandú, Montevideo, Uruguay",small,express,2,1,-34.8989865,-56.1578912,-34.901975,-56.1895067,2.9085686139211804,1033
116,"Doctor Prudencio de Pena, Montevideo Uruguay","Himalaya, Montevideo, Uruguay",small,express,2,1,-34.8989865,-56.1578912,-34.8681349,-56.1491542,3.514587907793498,1088
117,"Doctor Prudencio de Pena, Montevideo Uruguay","Carlos Tellier, Montevideo, Uruguay",small,express,2,1,-34.8989865,-56.1578912,-34.8535167,-56.2452851,9.449117732054006,1473
118,"Doctor Prudencio de Pena, Montevideo Uruguay","Cooper, Montevideo, Uruguay",small,express,2,1,-34.8989865,-56.1578912,-34.8700236,-56.0694155,8.702967140618899,1363
119,"Doctor Prudencio de Pena, Montevideo Uruguay","Oyarvide, Montevideo, Uruguay",small,express,2,1,-34.8989865,-56.1578912,-34.8542084,-56.1264252,5.740468436603624,1308
120,"Doctor Prudencio de Pena, Montevideo Uruguay","Avenida Sarmiento, Montevideo, Uruguay",small,express,2,1,-34.8989865,-56.1578912,-34.9153352,-56.1673733,2.010097491544156,979
121,"Doctor Prudencio de Pena, Montevideo Uruguay","Líber Arce, Montevideo, Uruguay",small,express,2,1,-34.8989865,-56.1578912,-34.8988864,-56.1440372,1.2663080170478147,979
122,"Doctor Prudencio de Pena, Montevideo Uruguay","Hocquart, Montevideo, Uruguay",small,express,2,1,-34.8989865,-56.1578912,-34.8902774,-56.1800759,2.2462059884565773,369
123,"Doctor Prudencio de Pena, Montevideo Uruguay","Ignacio Barrios, Montevideo, Uruguay",small,express,2,1,-34.8989865,-56.1578912,-34.8562398,-56.1393665,5.035592746691331,643
124,"Doctor Prudencio de Pena, Montevideo Uruguay","Escalada, Montevideo, Uruguay",small,express,2,1,-34.8989865,-56.1578912,-34.8525727,-56.2005685,6.460420336281064,1308
125,"Doctor Prudencio de Pena, Montevideo Uruguay","Fernando Torres, Montevideo, Uruguay",small,express,2,1,,,,,,
126,"Doctor Prudencio de Pena, Montevideo Uruguay","Carlos Reyles, Montevideo, Uruguay",small,express,2,1,,,,,,
127,"Doctor Prudencio de Pena, Montevideo Uruguay","Rizal, Montevideo, Uruguay",small,express,2,1,-34.8989865,-56.1578912,-34.9009529,-56.1352843,2.0777348240153963,478
128,"Doctor Prudencio de Pena, Montevideo Uruguay","Chamizo, Montevideo, Uruguay",small,express,2,1,-34.8989865,-56.1578912,-34.8889171,-56.1212496,3.5306351943906904,1088
129,"Rambla República de México, Montevideo Uruguay","Ricaldoni, Montevideo Uruguay",small,express,2,1,-34.8941222,-56.0595102,-34.8938637,-56.1591115,9.104175803047006,1088
130,"Rambla República de México, Montevideo Uruguay","Doctor Alberto Zubiría, Montevideo Uruguay",small,express,2,1,-34.8941222,-56.0595102,-34.8434359,-56.1924935,13.3964000351122,1473
131,"Rambla República de México, Montevideo Uruguay","Adolfo berro, Montevideo Uruguay",small,express,2,1,-34.8941222,-56.0595102,-34.8642481,-56.2077112,13.948304227023469,1363
132,"Rambla República de México, Montevideo Uruguay","Los Nogales, Montevideo Uruguay",small,express,2,1,-34.8941222,-56.0595102,-34.8029901,-56.1143293,11.284837178463514,1802
133,"Rambla República de México, Montevideo Uruguay","Paysandú, Montevideo, Uruguay",small,express,2,1,-34.8941222,-56.0595102,-34.901975,-56.1895067,11.913736781517033,1198
134,"Rambla República de México, Montevideo Uruguay","Himalaya, Montevideo, Uruguay",small,express,2,1,-34.8941222,-56.0595102,-34.8681349,-56.1491542,8.687566104656845,1253
